Game,Time,Avg Total,Away Avg,Home Avg,Away Win%,Home Win%,Tie %,ML Odds
MIA @ LAD,10:10 PM ET,4.57,1.72,2.85,27.88,56.21,15.91,-159
MIN @ CLE,6:10 PM ET,6.49,4.49,2.0,67.79,21.25,10.96,+125
NYY @ BAL,6:35 PM ET,1.79,0.9,0.89,31.69,32.16,36.15,+128
STL @ CIN,6:40 PM ET,6.06,1.82,4.24,20.3,68.99,10.71,-135
CHC @ PIT,6:40 PM ET,4.11,1.52,2.59,28.15,53.93,17.92,+115
WSH @ PHI,6:45 PM ET,3.3,1.88,1.42,46.56,31.57,21.87,+155
KC @ TB,7:05 PM ET,6.05,3.75,2.3,57.52,29.94,12.54,+120
BOS @ TOR,7:07 PM ET,3.63,3.02,0.61,72.53,10.18,17.29,-135
ARI @ NYM,7:10 PM ET,4.32,1.91,2.41,36.45,46.51,17.04,-130
MIL @ CWS,7:40 PM ET,8.31,6.75,1.56,84.26,9.53,6.21,-215
ATH @ TEX,8:05 PM ET,3.64,1.8,1.84,39.05,40.54,20.41,N/A
DET @ HOU,8:10 PM ET,3.5,1.27,2.23,26.29,52.87,20.84,-109
ATL @ COL,8:40 PM ET,13.36,9.19,4.17,75.97,18.77,5.26,-170
LAA @ SEA,9:40 PM ET,4.59,1.11,3.48,15.74,70.86,13.4,-162
SF @ SD,9:40 PM ET,0.83,0.36,0.47,18.09,23.61,58.3,+108
