Name,Team,Time,Odds 1+ hits,Odds of Hit
Agustin Ramirez,MIA,9:40 PM ET,100.0,-105
Masyn Winn,STL,8:15 PM ET,100.0,-130
Wyatt Langford,TEX,10:15 PM ET,95.37,-120
Kyle Manzardo,CLE,7:10 PM ET,91.78,-155
Steven Kwan,CLE,7:10 PM ET,91.12,-155
TJ Friedl,CIN,8:40 PM ET,89.24,-130
Elly De La Cruz,CIN,8:40 PM ET,88.44,-130
Alec Bohm,PHI,2:20 PM ET,87.86,-200
Paul Goldschmidt,NYY,7:05 PM ET,87.53,-220
J.P. Crawford,SEA,9:40 PM ET,87.5,-105
Willson Contreras,STL,8:15 PM ET,87.47,-160
Corbin Carroll,ARI,9:40 PM ET,85.55,-135
Pete Alonso,NYM,6:45 PM ET,85.43,-175
Matt Olson,ATL,9:40 PM ET,85.25,-180
Joey Bart,PIT,10:10 PM ET,85.0,-140
Chandler Simpson,TB,9:40 PM ET,84.86,-105
Francisco Lindor,NYM,6:45 PM ET,84.49,-235
Luke Keaschall,MIN,7:40 PM ET,84.47,-180
Julio Rodriguez,SEA,9:40 PM ET,84.18,-105
Jorge Polanco,SEA,9:40 PM ET,84.04,-105
Kerry Carpenter,DET,6:40 PM ET,83.79,-160
Bryan Reynolds,PIT,10:10 PM ET,83.69,-160
Dillon Dingler,DET,6:40 PM ET,83.49,-175
Jose Ramirez,CLE,7:10 PM ET,83.39,-155
Jose Trevino,CIN,8:40 PM ET,83.21,-130
Bryson Stott,PHI,2:20 PM ET,83.14,-190
Jarren Duran,BOS,7:10 PM ET,83.06,-244
Pete Crow-Armstrong,CHC,2:20 PM ET,83.05,-125
Michael Harris,ATL,9:40 PM ET,83.02,-195
Aaron Judge,NYY,7:05 PM ET,82.97,-270
Jacob Wilson,ATH,10:05 PM ET,82.82,-135
Ke'Bryan Hayes,PIT,10:10 PM ET,82.68,-160
Jeremy Pena,HOU,7:40 PM ET,82.41,-200
Angel Martinez,CLE,7:10 PM ET,82.26,-155
Andrew McCutchen,PIT,10:10 PM ET,81.89,-140
Keibert Ruiz,WSH,6:45 PM ET,81.74,-180
Johan Rojas,PHI,2:20 PM ET,81.29,-125
J.T. Realmuto,PHI,2:20 PM ET,81.1,-165
Luis Urias,ATH,10:05 PM ET,81.07,-135
Josh Naylor,ARI,9:40 PM ET,81.03,-135
Christian Walker,HOU,7:40 PM ET,81.0,-150
Brice Turang,MIL,8:15 PM ET,80.8,-150
Lawrence Butler,ATH,10:05 PM ET,80.59,-135
Bobby Witt,KC,7:40 PM ET,80.35,-160
Ian Happ,CHC,2:20 PM ET,80.12,-150
Cedric Mullins,BAL,6:40 PM ET,80.0,-125
Javier Baez,DET,6:40 PM ET,79.89,-165
Carlos Narvaez,BOS,7:10 PM ET,79.83,-105
Michael Busch,CHC,2:20 PM ET,79.72,-118
Austin Hays,CIN,8:40 PM ET,79.52,-130
Alek Thomas,ARI,9:40 PM ET,79.45,-135
Cal Raleigh,SEA,9:40 PM ET,79.34,-105
Spencer Torkelson,DET,6:40 PM ET,79.34,-175
Dansby Swanson,CHC,2:20 PM ET,79.3,-148
Pedro Pages,STL,8:15 PM ET,79.0,-130
William Contreras,MIL,8:15 PM ET,78.91,-174
Brendan Donovan,STL,8:15 PM ET,78.74,-174
Cam Smith,HOU,7:40 PM ET,78.65,-145
Rowdy Tellez,SEA,9:40 PM ET,78.59,-105
Mark Vientos,NYM,6:45 PM ET,78.15,-150
Jose Altuve,HOU,7:40 PM ET,78.12,-225
Logan O'Hoppe,LAA,7:40 PM ET,78.06,-115
Luis Garcia jr,WSH,6:45 PM ET,77.99,-170
Eugenio Suarez,ARI,9:40 PM ET,77.85,-135
Christian Yelich,MIL,8:15 PM ET,77.65,-195
Alex Bregman,BOS,7:10 PM ET,77.57,-234
Trevor Larnach,MIN,7:40 PM ET,77.51,-160
Tommy Pham,PIT,10:10 PM ET,77.28,-115
Gleyber Torres,DET,6:40 PM ET,77.24,-220
Oneil Cruz,PIT,10:10 PM ET,77.01,-155
Teoscar Hernandez,LAD,10:10 PM ET,77.01,-160
Tim Tawa,ARI,9:40 PM ET,76.93,-135
Max Kepler,PHI,2:20 PM ET,76.82,-160
Sal Frelick,MIL,8:15 PM ET,76.81,-154
Lourdes Gurriel,ARI,9:40 PM ET,76.79,-135
Seiya Suzuki,CHC,2:20 PM ET,76.75,-145
Adam Frazier,PIT,10:10 PM ET,76.4,-115
Noelvi Marte,CIN,8:40 PM ET,76.35,-130
Brandon Nimmo,NYM,6:45 PM ET,76.29,-194
Gabriel Arias,CLE,7:10 PM ET,75.88,-155
George Springer,TOR,7:05 PM ET,75.76,-190
Hunter Renfroe,KC,7:40 PM ET,75.49,-115
Marcell Ozuna,ATL,9:40 PM ET,75.29,-200
Rhys Hoskins,MIL,8:15 PM ET,75.28,-120
Riley Greene,DET,6:40 PM ET,75.23,-220
Blake Dunn,CIN,8:40 PM ET,75.0,-130
Nathan Lukes,TOR,7:05 PM ET,75.0,-145
Maikel Garcia,KC,7:40 PM ET,74.9,-210
Drew Waters,KC,7:40 PM ET,74.89,-115
Gavin Sheets,SD,9:40 PM ET,74.62,-160
Yainer Diaz,HOU,7:40 PM ET,74.35,-235
Adolis Garcia,TEX,10:15 PM ET,74.02,-120
Bryce Harper,PHI,2:20 PM ET,73.86,-220
Dylan Moore,SEA,9:40 PM ET,73.8,-105
Trey Sweeney,DET,6:40 PM ET,73.33,-175
Juan Soto,NYM,6:45 PM ET,73.2,-220
Kyle Tucker,CHC,2:20 PM ET,72.84,-165
Jackson Chourio,MIL,8:15 PM ET,72.69,-200
Dylan Crews,WSH,6:45 PM ET,72.5,-140
Kyle Schwarber,PHI,2:20 PM ET,72.48,-140
Isiah Kiner-Falefa,PIT,10:10 PM ET,72.36,-145
Josh Smith,TEX,10:15 PM ET,72.34,-120
Ceddanne Rafaela,BOS,7:10 PM ET,72.34,-155
Jarred Kelenic,ATL,9:40 PM ET,72.0,-150
Edgar Quero,CWS,10:05 PM ET,71.96,-135
Andrew Vaughn,CWS,10:05 PM ET,71.88,-135
Salvador Perez,KC,7:40 PM ET,71.24,-185
Lenyn Sosa,CWS,10:05 PM ET,71.18,-135
Jung Hoo Lee,SF,10:15 PM ET,71.16,-260
Jose Iglesias,SD,9:40 PM ET,71.16,-200
Oscar Gonzalez,SD,9:40 PM ET,71.15,-174
Randy Arozarena,SEA,9:40 PM ET,71.04,-105
Trea Turner,PHI,2:20 PM ET,70.95,-225
Trevor Story,BOS,7:10 PM ET,70.82,-184
Alex Verdugo,ATL,9:40 PM ET,70.76,135
Jasson Dominguez,NYY,7:05 PM ET,70.54,-155
Isaac Paredes,HOU,7:40 PM ET,70.53,-155
Wilmer Flores,SF,10:15 PM ET,70.45,-165
Vladimir Guerrero,TOR,7:05 PM ET,70.45,-400
Nico Hoerner,CHC,2:20 PM ET,70.25,-200
Tyler Soderstrom,ATH,10:05 PM ET,70.09,-135
Jonah Heim,TEX,10:15 PM ET,69.94,-120
Brent Rooker,ATH,10:05 PM ET,69.67,-135
Jorge Soler,LAA,7:40 PM ET,69.63,-115
Caleb Durbin,MIL,8:15 PM ET,69.62,-130
Nolan Gorman,STL,8:15 PM ET,69.44,100
Ernie Clement,TOR,7:05 PM ET,69.38,-225
Yordan Alvarez,HOU,7:40 PM ET,69.38,-200
Nolan Arenado,STL,8:15 PM ET,69.3,-185
Spencer Steer,CIN,8:40 PM ET,69.01,-130
Andrew Benintendi,CWS,10:05 PM ET,69.01,-135
Austin Wells,NYY,7:05 PM ET,68.87,-135
Ryan Jeffers,MIN,7:40 PM ET,68.85,-174
Kristian Campbell,BOS,7:10 PM ET,68.7,-165
Shea Langeliers,ATH,10:05 PM ET,68.69,-135
Nolan Jones,CLE,7:10 PM ET,68.65,-155
Matt McLain,CIN,8:40 PM ET,68.42,-130
Tyrone Taylor,NYM,6:45 PM ET,68.33,-125
Bo Naylor,CLE,7:10 PM ET,68.29,-155
Sean Murphy,ATL,9:40 PM ET,68.16,-150
