0,1,2,3,4,5,6,7,8,9,10,11
Batter,Pitcher,AB,H,2B,3B,HR,BB,SO,AVG,OBP,SLG
CJ Abrams,Hunter Greene,1,0,0,0,0,2,1,.000,.667,.000
James Wood,Hunter Greene,0,0,0,0,0,0,0,.000,.000,.000
Nathaniel Lowe,Hunter Greene,3,0,0,0,0,0,2,.000,.000,.000
Keibert Ruiz,Hunter Greene,2,2,0,0,0,0,0,1.000,1.000,1.000
Luis Garcia,Hunter Greene,2,0,0,0,0,0,1,.000,.000,.000
Josh Bell,Hunter Greene,0,0,0,0,0,0,0,.000,.000,.000
Dylan Crews,Hunter Greene,0,0,0,0,0,0,0,.000,.000,.000
Jose Tena,Hunter Greene,0,0,0,0,0,0,0,.000,.000,.000
Jacob Young,Hunter Greene,0,0,0,0,0,0,0,.000,.000,.000
TJ Friedl,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Matt McLain,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Elly De La Cruz,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Noelvi Marte,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Santiago Espinal,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Spencer Steer,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Tyler Stephenson,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Jose Trevino,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Blake Dunn,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Fernando Tatis,Mitch Keller,3,1,0,0,0,0,1,.333,.333,.333
Luis Arraez,Mitch Keller,9,3,1,0,0,0,1,.333,.333,.444
Manny Machado,Mitch Keller,11,3,0,0,1,3,4,.273,.429,.545
Gavin Sheets,Mitch Keller,1,0,0,0,0,1,0,.000,.500,.000
Xander Bogaerts,Mitch Keller,6,1,0,0,0,0,0,.167,.167,.167
Jose Iglesias,Mitch Keller,13,3,0,0,1,0,3,.231,.231,.462
Tyler Wade,Mitch Keller,2,1,0,0,0,0,0,.500,.500,.500
Jason Heyward,Mitch Keller,20,6,3,0,1,0,2,.300,.300,.600
Martin Maldonado,Mitch Keller,2,0,0,0,0,0,0,.000,.000,.000
Oneil Cruz,Dylan Cease,0,0,0,0,0,0,0,.000,.000,.000
Bryan Reynolds,Dylan Cease,6,1,0,0,0,0,1,.167,.167,.167
Andrew McCutchen,Dylan Cease,1,0,0,0,0,0,0,.000,.000,.000
