Batter,Pitcher,AB,H,2B,3B,HR,BB,SO,AVG,OBP,SLG
Steven Kwan,Jake Irvin,3,1,0,0,0,0,1,.333,.333,.333
Daniel Schneemann,Jake Irvin,2,1,1,0,0,0,0,.500,.500,1.000
Jose Ramirez,Jake Irvin,3,0,0,0,0,0,1,.000,.000,.000
Kyle Manzardo,Jake Irvin,0,0,0,0,0,0,0,.000,.000,.000
Carlos Santana,Jake Irvin,5,1,0,0,1,1,1,.200,.333,.800
Bo Naylor,Jake Irvin,2,0,0,0,0,0,0,.000,.000,.000
Gabriel Arias,Jake Irvin,2,1,1,0,0,0,1,.500,.500,1.000
Nolan Jones,Jake Irvin,4,0,0,0,0,1,1,.000,.200,.000
Angel Martinez,Jake Irvin,0,0,0,0,0,0,0,.000,.000,.000
CJ Abrams,Luis L. Ortiz,3,0,0,0,0,0,1,.000,.000,.000
Alex Call,Luis L. Ortiz,0,0,0,0,0,0,0,.000,.000,.000
James Wood,Luis L. Ortiz,3,1,0,0,0,0,0,.333,.333,.333
Nathaniel Lowe,Luis L. Ortiz,6,1,0,0,0,0,2,.167,.167,.167
Keibert Ruiz,Luis L. Ortiz,2,0,0,0,0,0,1,.000,.000,.000
Luis Garcia,Luis L. Ortiz,3,2,1,0,0,1,0,.667,.750,1.000
Dylan Crews,Luis L. Ortiz,3,2,1,0,1,0,0,.667,.667,2.000
Jose Tena,Luis L. Ortiz,3,2,0,0,0,0,0,.667,.667,.667
Jacob Young,Luis L. Ortiz,2,0,0,0,0,0,0,.000,.000,.000
Shohei Ohtani,Cal Quantrill,18,5,2,0,0,4,5,.278,.409,.389
Mookie Betts,Cal Quantrill,11,3,0,0,1,0,1,.273,.273,.545
Freddie Freeman,Cal Quantrill,17,9,2,1,0,3,2,.529,.600,.765
Will Smith,Cal Quantrill,14,4,2,1,0,0,0,.286,.286,.571
Andy Pages,Cal Quantrill,7,4,0,0,1,1,0,.571,.667,1.000
Max Muncy,Cal Quantrill,11,4,0,0,1,5,3,.364,.563,.636
Hyeseong Kim,Cal Quantrill,0,0,0,0,0,0,0,.000,.000,.000
Enrique Hernandez,Cal Quantrill,8,3,0,0,0,0,1,.375,.375,.375
Michael Conforto,Cal Quantrill,7,1,0,0,1,3,2,.143,.400,.571
Xavier Edwards,Tony Gonsolin,3,0,0,0,0,0,0,.000,.000,.000
Kyle Stowers,Tony Gonsolin,3,3,1,0,1,0,0,1.000,1.000,2.333
Agustin Ramirez,Tony Gonsolin,3,0,0,0,0,0,2,.000,.000,.000
Jesus Sanchez,Tony Gonsolin,7,2,0,0,0,0,1,.286,.286,.286
Connor Norby,Tony Gonsolin,3,0,0,0,0,0,2,.000,.000,.000
Matt Mervis,Tony Gonsolin,2,0,0,0,0,0,1,.000,.000,.000
Dane Myers,Tony Gonsolin,0,0,0,0,0,0,0,.000,.000,.000
Ronny Simon,Tony Gonsolin,0,0,0,0,0,0,0,.000,.000,.000
Liam Hicks,Tony Gonsolin,2,1,0,0,0,0,0,.500,.500,.500
Josh Smith,Lucas Giolito,2,0,0,0,0,0,1,.000,.000,.000
Wyatt Langford,Lucas Giolito,0,0,0,0,0,0,0,.000,.000,.000
Corey Seager,Lucas Giolito,10,3,1,0,1,1,0,.300,.333,.700
Joc Pederson,Lucas Giolito,6,3,1,0,0,0,2,.500,.500,.667
Marcus Semien,Lucas Giolito,20,6,2,1,0,2,6,.300,.364,.500
Adolis Garcia,Lucas Giolito,12,2,0,0,1,0,4,.167,.167,.417
Evan Carter,Lucas Giolito,2,1,1,0,0,0,1,.500,.500,1.000
Jonah Heim,Lucas Giolito,9,0,0,0,0,2,5,.000,.182,.000
Josh Jung,Lucas Giolito,0,0,0,0,0,0,0,.000,.000,.000
Jarren Duran,Nathan Eovaldi,6,2,1,0,1,0,1,.333,.333,1.000
Rafael Devers,Nathan Eovaldi,11,2,1,0,0,1,4,.182,.250,.273
Alex Bregman,Nathan Eovaldi,18,4,2,0,1,2,4,.222,.300,.500
Kristian Campbell,Nathan Eovaldi,2,0,0,0,0,0,1,.000,.000,.000
Wilyer Abreu,Nathan Eovaldi,4,3,0,0,2,0,1,.750,.750,2.250
Trevor Story,Nathan Eovaldi,5,1,0,0,1,1,2,.200,.333,.800
Abraham Toro,Nathan Eovaldi,5,0,0,0,0,0,2,.000,.000,.000
Carlos Narvaez,Nathan Eovaldi,0,0,0,0,0,0,0,.000,.000,.000
Ceddanne Rafaela,Nathan Eovaldi,4,0,0,0,0,0,1,.000,.000,.000
Fernando Tatis,Clarke Schmidt,2,0,0,0,0,0,0,.000,.333,.000
Luis Arraez,Clarke Schmidt,3,1,0,0,0,0,0,.333,.333,.333
Manny Machado,Clarke Schmidt,2,0,0,0,0,1,1,.000,.333,.000
Jackson Merrill,Clarke Schmidt,2,1,0,0,0,0,0,.500,.500,.500
Xander Bogaerts,Clarke Schmidt,3,0,0,0,0,0,1,.000,.000,.000
Gavin Sheets,Clarke Schmidt,4,0,0,0,0,0,1,.000,.000,.000
Jose Iglesias,Clarke Schmidt,0,0,0,0,0,0,0,.000,.000,.000
Jason Heyward,Clarke Schmidt,0,0,0,0,0,0,0,.000,.000,.000
Elias Diaz,Clarke Schmidt,2,0,0,0,0,1,1,.000,.333,.000
Trent Grisham,Michael King,0,0,0,0,0,0,0,.000,.000,.000
Ben Rice,Michael King,0,0,0,0,0,0,0,.000,.000,.000
Aaron Judge,Michael King,0,0,0,0,0,0,0,.000,.000,.000
Cody Bellinger,Michael King,1,0,0,0,0,0,0,.000,.000,.000
Jasson Dominguez,Michael King,0,0,0,0,0,0,0,.000,.000,.000
Anthony Volpe,Michael King,0,0,0,0,0,0,0,.000,.000,.000
Austin Wells,Michael King,0,0,0,0,0,0,0,.000,.000,.000
Oswaldo Cabrera,Michael King,0,0,0,0,0,0,0,.000,.000,.000
Jorbit Vivas,Michael King,0,0,0,0,0,0,0,.000,.000,.000
Bryson Stott,Drew Rasmussen,1,0,0,0,0,0,0,.000,.000,.000
Trea Turner,Drew Rasmussen,1,1,0,0,0,0,0,1.000,1.000,1.000
Bryce Harper,Drew Rasmussen,3,1,0,0,0,0,0,.333,.333,.333
Kyle Schwarber,Drew Rasmussen,6,1,0,0,0,0,2,.167,.167,.167
Nick Castellanos,Drew Rasmussen,1,0,0,0,0,1,1,.000,.500,.000
Max Kepler,Drew Rasmussen,4,1,0,0,0,0,1,.250,.250,.250
J.T. Realmuto,Drew Rasmussen,3,0,0,0,0,1,2,.000,.250,.000
Alec Bohm,Drew Rasmussen,2,0,0,0,0,0,2,.000,.000,.000
Brandon Marsh,Drew Rasmussen,1,1,0,0,0,0,0,1.000,1.000,1.000
Chandler Simpson,Zack Wheeler,0,0,0,0,0,0,0,.000,.000,.000
Brandon Lowe,Zack Wheeler,12,3,0,1,1,2,4,.250,.357,.667
Yandy Diaz,Zack Wheeler,6,3,0,0,0,1,1,.500,.571,.500
Jonathan Aranda,Zack Wheeler,2,2,1,0,1,1,0,1.000,1.000,3.000
Kameron Misner,Zack Wheeler,0,0,0,0,0,0,0,.000,.000,.000
Junior Caminero,Zack Wheeler,3,0,0,0,0,0,1,.000,.000,.000
Travis Jankowski,Zack Wheeler,3,1,0,0,0,0,1,.333,.333,.333
Ben Rortvedt,Zack Wheeler,3,0,0,0,0,0,2,.000,.000,.000
Taylor Walls,Zack Wheeler,2,1,0,0,0,0,0,.500,.500,.500
Steven Kwan,Jake Irvin,3,1,0,0,0,0,1,.333,.333,.333
Gabriel Arias,Jake Irvin,2,1,1,0,0,0,1,.500,.500,1.000
Jose Ramirez,Jake Irvin,3,0,0,0,0,0,1,.000,.000,.000
Kyle Manzardo,Jake Irvin,0,0,0,0,0,0,0,.000,.000,.000
Carlos Santana,Jake Irvin,5,1,0,0,1,1,1,.200,.333,.800
